img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg;{'hand': [0.03898348999023438, 0.42246694946289065, 0.7871348876953125, 0.62862158203125]};{'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}};{'hand': 0.360066876672184};[['Area to grab safely with entire hand on the allen key']]
1;grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg;{'hand': [0.33832778930664065, 0.21217074584960938, 0.5557448120117188, 0.5730223999023437]};{'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}};{'hand': 0.9242953925960106};[['Area to grab safely with entire hand on the allen key']]
2;grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg;{'index': [0.19176570129394532, 0.2825977478027344, 0.8377960205078125, 0.7427439575195313], 'thumb': [0.19176570129394532, 0.2825977478027344, 0.8377960205078125, 0.7427439575195313]};{'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}};{'index': 0.18806152784195337, 'thumb': 0.06761333148476362};[['Placement for index finger on the syringe'], ['Placement for thumb finger on the syringe']]
3;grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg;{'hand': [0.11430628204345702, 0.1903565216064453, 0.8251106567382812, 0.8765595703125]};{'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}};{'hand': 0.4419216637305533};[['Area to grab safely with entire hand on the screwdriver']]
4;grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg;{'hand': [0.0671956787109375, 0.01273348331451416, 0.8098159790039062, 0.7616907958984375]};{'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}};{'hand': 0.09671654557033743};[['Area to grab safely with entire hand on the allen key']]
5;grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg;{'hand': [0.3487224426269531, 0.04952056884765625, 0.6267630004882813, 0.14139065551757812]};{'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}};{'hand': 0.8537893422170101};[['Area to grab safely with entire hand on the top drawer with a horizontal bar handle']]
6;grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}};{'index': 0.0};[['Pressable surface for index finger on the glue gun']]
7;grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg;{'hand': [0.14104104614257812, 0.21318724060058594, 0.8183517456054688, 0.9576846313476562]};{'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}};{'hand': 0.14732331983456465};[['Area to grab safely with entire hand on the hammer']]
8;grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg;{'index': [0.14175177001953124, 0.1134184112548828, 0.8850980224609375, 0.8612728271484374]};{'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}};{'index': 0.00491712059293608};[['Pressable surface for index finger on the power drill']]
9;grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg;{'hand': [0.7198912963867188, 0.5222533569335938, 0.7693313598632813, 0.6531435546875]};{'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}};{'hand': 0.2615812910533229};[['Area to grab safely with entire hand on the door with a vertical bar handle']]
10;grasp_vlm_dataset/darts4_jpg.rf.e185762bf6904ef83bb9ff868a62c979.jpg;{'index': [0.00019345879554748534, 0.7360131225585937, 0.11477819061279297, 0.9010283813476563], 'thumb': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.451, 'y_1': 0.491, 'x_2': 0.5575, 'y_2': 0.5035}, 'thumb': {'x_1': 0.455, 'y_1': 0.518, 'x_2': 0.556, 'y_2': 0.5325}};{'index': 0.0, 'thumb': 0.0};[['Placement for index finger on the dart'], ['Placement for thumb finger on the dart']]
11;grasp_vlm_dataset/bowl_ball9_jpg.rf.0a63e27d943cccfc0fc830f2e4e163af.jpg;{'index': [0.13800418090820313, 0.14921620178222655, 0.88553125, 0.753666259765625], 'thumb': [0.13800418090820313, 0.14921620178222655, 0.88553125, 0.753666259765625]};{'thumb': {'x_1': 0.067, 'y_1': 0.521, 'x_2': 0.1485, 'y_2': 0.628}, 'index': {'x_1': 0.618, 'y_1': 0.629, 'x_2': 0.7445, 'y_2': 0.7465}};{'index': 0.0328958448590365, 'thumb': 0.002444393362450855};[['Placement for index finger on the bowling ball'], ['Placement for thumb finger on the bowling ball']]
12;grasp_vlm_dataset/screwdriver_12_jpg.rf.ab37f13129d7e7b02a4ca26782785fb6.jpg;{'hand': [0.446932373046875, 0.05413048553466797, 0.5597264404296876, 0.6456815185546875]};{'handle': {'x_1': 0.463, 'y_1': 0.054, 'x_2': 0.5435, 'y_2': 0.4915}};{'hand': 0.5275912080754419};[['Area to grab safely with entire hand on the screwdriver']]
