img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg;{'hand': [0.02280006408691406, 0.42528726196289063, 0.987615234375, 0.6261560668945313]};{'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}};{'hand': 0.41378211764287043};[['Where an entire hand can grab the allen key safely']]
1;grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg;{'hand': [0.3356959533691406, 0.20917530822753908, 0.5544908447265625, 0.5835390014648437]};{'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}};{'hand': 0.9327259989444353};[['Where an entire hand can grab the allen key safely']]
2;grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg;{'index': [0.19030934143066405, 0.28467852783203124, 0.8370594482421875, 0.7418090209960938], 'thumb': [0.19030934143066405, 0.28467852783203124, 0.8370594482421875, 0.7418090209960938]};{'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}};{'index': 0.18909150064463806, 'thumb': 0.06744784350521245};[['Where the index finger goes on the syringe'], ['Where the thumb finger goes on the syringe']]
3;grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg;{'hand': [0.11869490051269531, 0.21421040344238282, 0.824822265625, 0.8654706420898437]};{'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}};{'hand': 0.46871669290195855};[['Where an entire hand can grab the screwdriver safely']]
4;grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg;{'hand': [0.31694580078125, 0.0006145238876342773, 0.9995817260742188, 0.2995732727050781]};{'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}};{'hand': 0.30774086388354044};[['Where an entire hand can grab the allen key safely']]
5;grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg;{'hand': [0.1922984619140625, 0.5657755126953125, 0.9297017211914063, 0.9997142944335937]};{'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}};{'hand': 0.0};[['Where an entire hand can grab the top drawer with a horizontal bar handle safely']]
6;grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg;{'hand': [0.4580364685058594, 0.0014444828033447266, 0.7598447265625, 0.4925772705078125]};{'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}};{'hand': 0.0};[['Where the index finger can press on the glue gun safely']]
7;grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg;{'hand': [0.40517205810546875, 0.08882282257080078, 0.58834814453125, 0.6074757690429687]};{'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}};{'hand': 0.904490685087773};[['Where an entire hand can grab the hammer safely']]
8;grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg;{'hand': [0.5162054443359375, 0.03622703552246094, 0.8750830688476563, 0.8981687622070312]};{'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}};{'hand': 0.0};[['Where the index finger can press on the power drill safely']]
9;grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg;{'hand': [0.21649113464355468, 0.06539149475097657, 0.8382225341796875, 0.9305465087890625]};{'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}};{'hand': 0.0031469952841608334};[['Where an entire hand can grab the door with a vertical bar handle safely']]
