img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/chainsaw15_cleanup_jpg.rf.11d90bdce324c7b9c1d523c277464277.jpg;{'hand1': [0.001056075096130371, 0.01305299949645996, 0.9998173828125, 1.0], 'hand2': [0.09242359161376953, 0.12443490600585938, 0.8924112548828125, 0.533630859375]};{'hand1': {'x_1': 0.118, 'y_1': 0.35, 'x_2': 0.2605, 'y_2': 0.406}, 'hand2': {'x_1': 0.372, 'y_1': 0.137, 'x_2': 0.49, 'y_2': 0.4225}};{'hand1': 0.00809556847501835, 'hand2': 0.10291377286905044};['Where one entire hand can grab the chainsaw safely', 'Where another entire hand can grab the chainsaw safely']
1;grasp_vlm_dataset/lever_handle15_jpg.rf.c150ac0d0348314fde586b1ad6710920.jpg;{'hand': [0.28886138916015625, 0.522303955078125, 0.36362396240234374, 0.5877621459960938]};{'handle': {'x_1': 0.296, 'y_1': 0.552, 'x_2': 0.364, 'y_2': 0.5645}};{'hand': 0.1725621140666353};['Where an entire hand can grab the door with a horizontal lever handle safely']
2;grasp_vlm_dataset/bolt_cutters6_cleanup_jpeg.rf.139814175d5ad6aa1a18ff6983dd6ec0.jpg;{'hand1': [0.4648966064453125, 0.09601313018798828, 0.7313025512695313, 0.6279382934570312], 'hand2': [0.30914849853515625, 0.09069013977050781, 0.7354633178710938, 0.9310829467773437]};{'hand1': {'x_1': 0.599, 'y_1': 0.088, 'x_2': 0.74, 'y_2': 0.314}, 'hand2': {'x_1': 0.361, 'y_1': 0.073, 'x_2': 0.4715, 'y_2': 0.2815}};{'hand1': 0.19926387401483214, 'hand2': 0.05853117334294149};['Where one entire hand can grab the bolt cutters safely', 'Where another entire hand can grab the bolt cutters safely']
3;grasp_vlm_dataset/screwdriver_18_jpg.rf.ae2d6f5f3f7f42aa84f46df82cb029f4.jpg;{'hand': [0.4219239501953125, 0.08356314849853516, 0.581844970703125, 0.9277942504882812]};{'handle': {'x_1': 0.435, 'y_1': 0.536, 'x_2': 0.5765, 'y_2': 0.9475}};{'hand': 0.4023180288188673};['Where an entire hand can grab the screwdriver safely']
4;grasp_vlm_dataset/lever_handle11_jpg.rf.f046f6ebb089be09db329081cafa301d.jpg;{'hand': [0.5725808715820313, 0.5784365844726562, 0.6248471069335938, 0.6050232543945312]};{'handle': {'x_1': 0.564, 'y_1': 0.587, 'x_2': 0.6155, 'y_2': 0.6005}};{'hand': 0.3848796832091133};['Where an entire hand can grab the door with a horizontal lever handle safely']
5;grasp_vlm_dataset/lever_handle12_jpg.rf.89913ae0673c44ced6c7308d0ca07360.jpg;{'hand': [0.207207275390625, 0.4427464904785156, 0.3144868469238281, 0.5238622436523438]};{'handle': {'x_1': 0.218, 'y_1': 0.465, 'x_2': 0.319, 'y_2': 0.4785}};{'hand': 0.1486447334562943};['Where an entire hand can grab the door with a horizontal lever handle safely']
6;grasp_vlm_dataset/glue_13_jpg.rf.c4fc05024b35506c820fe899c961b2bd.jpg;{'index': [0.16171296691894532, 0.0800048828125, 0.6721199951171875, 0.44758111572265624]};{'index': {'x_1': 0.333, 'y_1': 0.284, 'x_2': 0.424, 'y_2': 0.303}};{'index': 0.009215755089566563};['Where the index finger can press on the glue gun safely']
7;grasp_vlm_dataset/screwdriver_8_jpg.rf.9622b33838c1779b9b429ba196bae0d9.jpg;{'hand': [0.24507923889160158, 0.12595972442626954, 0.48605804443359374, 0.923837890625]};{'handle': {'x_1': 0.251, 'y_1': 0.422, 'x_2': 0.479, 'y_2': 0.9245}};{'hand': 0.5946234304084069};['Where an entire hand can grab the screwdriver safely']
8;grasp_vlm_dataset/top_bar8_jpg.rf.ab263c3e7284caeabcbe9f1f7951b958.jpg;{'hand': [0.13409042358398438, 0.7525416259765625, 0.7997481079101563, 0.9129608154296875]};{'handle': {'x_1': 0.326, 'y_1': 0.162, 'x_2': 0.678, 'y_2': 0.2155}};{'hand': 0.0};['Where an entire hand can grab the top drawer with a horizontal bar handle safely']
9;grasp_vlm_dataset/saw_4_jpg.rf.45ee2fc78686e7837efd44b55fdcb7b6.jpg;{'index': [0.08787497711181641, 0.0514970703125, 0.9919493408203125, 0.96495947265625]};{'index': {'x_1': 0.426, 'y_1': 0.5, 'x_2': 0.4575, 'y_2': 0.5785}};{'index': 0.002994231531054757};['Where the index finger can press on the circular saw safely']
