img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg;{'hand': [0.023946434020996093, 0.440349365234375, 0.9769722290039062, 0.6239756469726563]};{'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}};{'hand': 0.458235615928662};['Where an entire hand can grab the allen key safely']
1;grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg;{'hand': [0.36970147705078127, 0.19718211364746094, 1.0, 0.5850147705078125]};{'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}};{'hand': 0.2735597317241458};['Where an entire hand can grab the allen key safely']
2;grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg;{'index': [0.20285118103027344, 0.2889024963378906, 0.8341025390625, 0.7377955932617187], 'thumb': [0.18481375122070312, 0.27668563842773436, 0.2979156494140625, 0.4003528747558594]};{'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}};{'index': 0.19546945664416893, 'thumb': 0.0};['Placement for index finger on the syringe', 'Placement for thumb finger on the syringe']
3;grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg;{'hand': [0.10619338989257812, 0.21211865234375, 0.8194050903320312, 0.8646846923828125]};{'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}};{'hand': 0.4608795431092357};['Where an entire hand can grab the screwdriver safely']
4;grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg;{'hand': [0.2478730926513672, 0.006880685806274414, 1.0, 0.2964454345703125]};{'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}};{'hand': 0.2855904708291694};['Where an entire hand can grab the allen key safely']
5;grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg;{'hand': [0.35822265625, 0.8554343872070312, 0.6160291137695313, 0.9778658447265625]};{'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}};{'hand': 0.0};['Where an entire hand can grab the top drawer with a horizontal bar handle safely']
6;grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg;{'index': [0.21448916625976563, 0.009649843215942382, 0.76203955078125, 0.89055908203125]};{'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}};{'index': 0.029418429949419535};['Where the index finger can press on the glue gun safely']
7;grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg;{'hand': [0.16627743530273437, 0.08934855651855468, 0.7780476684570312, 0.9530469360351562]};{'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}};{'hand': 0.194504063061493};['Where an entire hand can grab the hammer safely']
8;grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg;{'index': [0.16053855895996094, 0.033099563598632815, 0.8764772338867187, 0.91087255859375]};{'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}};{'index': 0.004349717372731624};['Where the index finger can press on the power drill safely']
9;grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg;{'hand': [0.7827764282226563, 0.05903071212768555, 0.8398712158203125, 0.940760986328125]};{'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}};{'hand': 0.0};['Where an entire hand can grab the door with a vertical bar handle safely']
