img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/chainsaw15_cleanup_jpg.rf.11d90bdce324c7b9c1d523c277464277.jpg;{'hand1': [0.11308847045898437, 0.12880609130859375, 0.5790193481445313, 0.5340955810546875], 'hand2': [0.11308847045898437, 0.12880609130859375, 0.5790193481445313, 0.5340955810546875]};{'hand1': {'x_1': 0.118, 'y_1': 0.35, 'x_2': 0.2605, 'y_2': 0.406}, 'hand2': {'x_1': 0.372, 'y_1': 0.137, 'x_2': 0.49, 'y_2': 0.4225}};{'hand1': 0.04225869266480956, 'hand2': 0.17840264375748968};[['Where one entire hand can grab the chainsaw safely'], ['Where another entire hand can grab the chainsaw safely']]
1;grasp_vlm_dataset/lever_handle15_jpg.rf.c150ac0d0348314fde586b1ad6710920.jpg;{'hand': [0.2023387451171875, 7.9345703125e-05, 0.7891322021484375, 0.9955116577148437]};{'handle': {'x_1': 0.296, 'y_1': 0.552, 'x_2': 0.364, 'y_2': 0.5645}};{'hand': 0.0014551974636760694};[['Where an entire hand can grab the door with a horizontal lever handle safely']]
2;grasp_vlm_dataset/bolt_cutters6_cleanup_jpeg.rf.139814175d5ad6aa1a18ff6983dd6ec0.jpg;{'hand1': [0.3200087585449219, 0.07849583435058594, 0.7377483520507813, 0.9229452514648437], 'hand2': [0.3200087585449219, 0.07849583435058594, 0.7377483520507813, 0.9229452514648437]};{'hand1': {'x_1': 0.599, 'y_1': 0.088, 'x_2': 0.74, 'y_2': 0.314}, 'hand2': {'x_1': 0.361, 'y_1': 0.073, 'x_2': 0.4715, 'y_2': 0.2815}};{'hand1': 0.08876279200973575, 'hand2': 0.06348058729880095};[['Where one entire hand can grab the bolt cutters safely'], ['Where another entire hand can grab the bolt cutters safely']]
3;grasp_vlm_dataset/screwdriver_18_jpg.rf.ae2d6f5f3f7f42aa84f46df82cb029f4.jpg;{'hand': [0.42426739501953126, 0.08865489959716796, 0.5812061767578125, 0.9553941650390625]};{'handle': {'x_1': 0.435, 'y_1': 0.536, 'x_2': 0.5765, 'y_2': 0.9475}};{'hand': 0.42806284223606456};[['Where an entire hand can grab the screwdriver safely']]
4;grasp_vlm_dataset/lever_handle11_jpg.rf.f046f6ebb089be09db329081cafa301d.jpg;{'hand': [0.5719213256835938, 0.5828628540039062, 0.6216925048828125, 0.6042190551757812]};{'handle': {'x_1': 0.564, 'y_1': 0.587, 'x_2': 0.6155, 'y_2': 0.6005}};{'hand': 0.5028905113715968};[['Where an entire hand can grab the door with a horizontal lever handle safely']]
5;grasp_vlm_dataset/lever_handle12_jpg.rf.89913ae0673c44ced6c7308d0ca07360.jpg;{'hand': [0.21079011535644532, 0.4417931213378906, 0.3164868469238281, 0.522706298828125]};{'handle': {'x_1': 0.218, 'y_1': 0.465, 'x_2': 0.319, 'y_2': 0.4785}};{'hand': 0.1548501789304757};[['Where an entire hand can grab the door with a horizontal lever handle safely']]
6;grasp_vlm_dataset/glue_13_jpg.rf.c4fc05024b35506c820fe899c961b2bd.jpg;{'index': [0.5251820678710938, 0.08589553070068359, 0.6958916015625, 0.16136282348632813]};{'index': {'x_1': 0.333, 'y_1': 0.284, 'x_2': 0.424, 'y_2': 0.303}};{'index': 0.0};[['Where the index finger can press on the glue gun safely']]
7;grasp_vlm_dataset/screwdriver_8_jpg.rf.9622b33838c1779b9b429ba196bae0d9.jpg;{'hand': [0.24933441162109374, 0.13070846557617188, 0.47884646606445314, 0.9270433349609375]};{'handle': {'x_1': 0.251, 'y_1': 0.422, 'x_2': 0.479, 'y_2': 0.9245}};{'hand': 0.6261722869280212};[['Where an entire hand can grab the screwdriver safely']]
8;grasp_vlm_dataset/top_bar8_jpg.rf.ab263c3e7284caeabcbe9f1f7951b958.jpg;{'hand': [0.33485769653320313, 0.8202332763671875, 0.6255889282226562, 0.865904541015625]};{'handle': {'x_1': 0.326, 'y_1': 0.162, 'x_2': 0.678, 'y_2': 0.2155}};{'hand': 0.0};[['Where an entire hand can grab the top drawer with a horizontal bar handle safely']]
9;grasp_vlm_dataset/saw_4_jpg.rf.45ee2fc78686e7837efd44b55fdcb7b6.jpg;{'index': [0.3975271911621094, 0.14201473999023437, 1.0, 0.9689992065429688]};{'index': {'x_1': 0.426, 'y_1': 0.5, 'x_2': 0.4575, 'y_2': 0.5785}};{'index': 0.004963012939795012};[['Where the index finger can press on the circular saw safely']]
