img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/chainsaw15_cleanup_jpg.rf.11d90bdce324c7b9c1d523c277464277.jpg;{'hand1': [0.0, 0.0, 0.0, 0.0], 'hand2': [0.11076284027099609, 0.1317370147705078, 0.5722286376953125, 0.5222568359375]};{'hand1': {'x_1': 0.118, 'y_1': 0.35, 'x_2': 0.2605, 'y_2': 0.406}, 'hand2': {'x_1': 0.372, 'y_1': 0.137, 'x_2': 0.49, 'y_2': 0.4225}};{'hand1': 0.0, 'hand2': 0.18694141269741865};[['Where one entire hand can grab the chainsaw safely'], ['Where another entire hand can grab the chainsaw safely']]
1;grasp_vlm_dataset/lever_handle15_jpg.rf.c150ac0d0348314fde586b1ad6710920.jpg;{'hand': [0.28851025390625, 0.5228964233398438, 0.3684844970703125, 0.5895648193359375]};{'handle': {'x_1': 0.296, 'y_1': 0.552, 'x_2': 0.364, 'y_2': 0.5645}};{'hand': 0.15942219357013265};[['Where an entire hand can grab the door with a horizontal lever handle safely']]
2;grasp_vlm_dataset/bolt_cutters6_cleanup_jpeg.rf.139814175d5ad6aa1a18ff6983dd6ec0.jpg;{'hand1': [0.30702642822265624, 0.1127554931640625, 0.7419585571289062, 0.8621978149414062], 'hand2': [0.30702642822265624, 0.1127554931640625, 0.7419585571289062, 0.8621978149414062]};{'hand1': {'x_1': 0.599, 'y_1': 0.088, 'x_2': 0.74, 'y_2': 0.314}, 'hand2': {'x_1': 0.361, 'y_1': 0.073, 'x_2': 0.4715, 'y_2': 0.2815}};{'hand1': 0.08613060527939084, 'hand2': 0.0564440585190346};[['Where one entire hand can grab the bolt cutters safely'], ['Where another entire hand can grab the bolt cutters safely']]
3;grasp_vlm_dataset/screwdriver_18_jpg.rf.ae2d6f5f3f7f42aa84f46df82cb029f4.jpg;{'hand': [0.42686572265625, 0.1629506378173828, 0.5858500366210937, 0.9121793823242188]};{'handle': {'x_1': 0.435, 'y_1': 0.536, 'x_2': 0.5765, 'y_2': 0.9475}};{'hand': 0.42887670464718153};[['Where an entire hand can grab the screwdriver safely']]
4;grasp_vlm_dataset/lever_handle11_jpg.rf.f046f6ebb089be09db329081cafa301d.jpg;{'hand': [0.029857534408569336, 0.5700236206054687, 0.06344852447509766, 0.6064572143554687]};{'handle': {'x_1': 0.564, 'y_1': 0.587, 'x_2': 0.6155, 'y_2': 0.6005}};{'hand': 0.0};[['Where an entire hand can grab the door with a horizontal lever handle safely']]
5;grasp_vlm_dataset/lever_handle12_jpg.rf.89913ae0673c44ced6c7308d0ca07360.jpg;{'hand': [0.20810601806640625, 0.4400814514160156, 0.3182780151367188, 0.5239906616210938]};{'handle': {'x_1': 0.218, 'y_1': 0.465, 'x_2': 0.319, 'y_2': 0.4785}};{'hand': 0.1462854019102547};[['Where an entire hand can grab the door with a horizontal lever handle safely']]
6;grasp_vlm_dataset/glue_13_jpg.rf.c4fc05024b35506c820fe899c961b2bd.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.333, 'y_1': 0.284, 'x_2': 0.424, 'y_2': 0.303}};{'index': 0.0};[['Where the index finger can press on the glue gun safely']]
7;grasp_vlm_dataset/screwdriver_8_jpg.rf.9622b33838c1779b9b429ba196bae0d9.jpg;{'hand': [0.24577975463867188, 0.16683273315429686, 0.4821181335449219, 0.9116187133789062]};{'handle': {'x_1': 0.251, 'y_1': 0.422, 'x_2': 0.479, 'y_2': 0.9245}};{'hand': 0.6237932327381793};[['Where an entire hand can grab the screwdriver safely']]
8;grasp_vlm_dataset/top_bar8_jpg.rf.ab263c3e7284caeabcbe9f1f7951b958.jpg;{'hand': [0.3260534362792969, 0.4913155517578125, 0.6564873046875, 0.532674072265625]};{'handle': {'x_1': 0.326, 'y_1': 0.162, 'x_2': 0.678, 'y_2': 0.2155}};{'hand': 0.0};[['Where an entire hand can grab the top drawer with a horizontal bar handle safely']]
9;grasp_vlm_dataset/saw_4_jpg.rf.45ee2fc78686e7837efd44b55fdcb7b6.jpg;{'index': [0.11315541839599609, 0.06302044677734375, 0.8612896118164063, 0.8115797119140625]};{'index': {'x_1': 0.426, 'y_1': 0.5, 'x_2': 0.4575, 'y_2': 0.5785}};{'index': 0.004415445369823033};[['Where the index finger can press on the circular saw safely']]
